,shortName,sector,industry,country,market,2021-06-28 00:00:00,2021-06-29 00:00:00,2021-06-30 00:00:00,2021-07-01 00:00:00,2021-07-02 00:00:00,2021-07-06 00:00:00,2021-07-07 00:00:00,2021-07-08 00:00:00,2021-07-09 00:00:00,2021-07-12 00:00:00,2021-07-13 00:00:00,2021-07-14 00:00:00,2021-07-15 00:00:00,2021-07-16 00:00:00,2021-07-19 00:00:00,2021-07-20 00:00:00,2021-07-21 00:00:00,2021-07-22 00:00:00,2021-07-23 00:00:00,2021-07-26 00:00:00,2021-07-27 00:00:00,2021-07-28 00:00:00,2021-07-05 00:00:00
18,I-MAB,Healthcare,Biotechnology,China,us_market,79.79000091552734,80.80000305175781,83.94999694824219,84.43000030517578,81.66000366210938,74.51000213623047,75.44999694824219,74.94000244140625,80.69999694824219,77.75,76.33000183105469,74.31999969482422,74.16000366210938,77.44999694824219,75.9800033569336,75.94999694824219,77.98999786376953,77.97000122070312,73.23999786376953,62.93000030517578,60.70000076293945,69.87999725341797,
19,Wingstop Inc.,Consumer Cyclical,Restaurants,United States,us_market,157.39999389648438,157.2100067138672,157.6300048828125,156.3300018310547,156.8800048828125,156.0500030517578,156.17999267578125,156.1199951171875,158.0800018310547,155.58999633789062,158.9499969482422,154.17999267578125,154.22000122070312,154.9199981689453,154.77000427246094,157.97000122070312,159.47999572753906,167.82000732421875,169.83999633789062,167.11000061035156,169.9199981689453,160.1199951171875,
20,"Teladoc Health, Inc.",Healthcare,Health Information Services,United States,us_market,170.4199981689453,171.36000061035156,166.2899932861328,164.63999938964844,164.25999450683594,163.52999877929688,158.25999450683594,157.94000244140625,158.60000610351562,155.99000549316406,154.2100067138672,148.85000610351562,146.2100067138672,146.77999877929688,151.3699951171875,154.8300018310547,153.32000732421875,152.8699951171875,151.58999633789062,149.75,151.00999450683594,149.7050018310547,
21,"Brinker International, Inc.",Consumer Cyclical,Restaurants,United States,us_market,60.4900016784668,60.470001220703125,61.849998474121094,61.36000061035156,60.86000061035156,61.040000915527344,60.72999954223633,59.66999816894531,60.900001525878906,63.93000030517578,62.540000915527344,61.0099983215332,58.630001068115234,57.560001373291016,54.18000030517578,57.5,59.34000015258789,57.959999084472656,56.630001068115234,59.880001068115234,59.93000030517578,57.0099983215332,
22,"Support.com, Inc.",Technology,Software—Application,United States,us_market,3.9000000953674316,4.079999923706055,3.859999895095825,3.9700000286102295,4.380000114440918,4.920000076293945,4.269999980926514,4.239999771118164,4.429999828338623,4.46999979019165,4.269999980926514,4.090000152587891,4.139999866485596,3.990000009536743,4.389999866485596,4.510000228881836,4.949999809265137,5.480000019073486,6.179999828338623,6.739999771118164,6.920000076293945,8.390000343322754,
23,Alibaba Group Holding Limited,Consumer Cyclical,Internet Retail,China,us_market,228.58999633789062,229.44000244140625,226.77999877929688,221.8699951171875,217.75,211.60000610351562,208.0,199.85000610351562,205.94000244140625,205.47999572753906,209.50999450683594,211.5,214.75999450683594,212.10000610351562,208.91000366210938,210.58999633789062,211.0800018310547,214.0399932861328,206.52999877929688,191.75999450683594,186.07000732421875,194.83999633789062,
24,ContextLogic Inc.,Consumer Cyclical,Internet Retail,United States,us_market,14.399999618530273,13.399999618530273,13.170000076293945,12.239999771118164,11.649999618530273,11.890000343322754,10.949999809265137,11.0,11.140000343322754,10.90999984741211,10.399999618530273,9.779999732971191,10.09000015258789,9.270000457763672,9.4399995803833,10.140000343322754,10.0,9.5,9.180000305175781,9.15999984741211,9.319999694824219,9.854999542236328,
25,"Agora, Inc.",Technology,Software—Application,China,us_market,43.68000030517578,43.38999938964844,41.959999084472656,41.439998626708984,39.400001525878906,39.189998626708984,37.22999954223633,35.90999984741211,37.900001525878906,37.709999084472656,38.27000045776367,35.779998779296875,34.939998626708984,35.16999816894531,34.560001373291016,34.2599983215332,34.58000183105469,33.099998474121094,26.010000228881836,27.190000534057617,27.270000457763672,32.00270080566406,
26,DAQO New Energy Corp.,Technology,Semiconductor Equipment & Materials,China,us_market,66.16999816894531,66.77999877929688,65.0199966430664,66.04000091552734,62.54999923706055,66.83000183105469,71.25,68.98999786376953,67.80000305175781,68.2699966430664,72.3499984741211,68.94000244140625,68.83000183105469,66.43000030517578,64.33999633789062,66.08000183105469,79.37999725341797,67.66999816894531,59.06999969482422,56.47999954223633,53.75,61.654998779296875,
27,BLACKBERRY LIMITED,Technology,Software—Infrastructure,Canada,ca_market,15.829999923706055,15.149999618530273,15.149999618530273,,14.829999923706055,15.0600004196167,14.350000381469727,14.5,14.6899995803833,14.029999732971191,13.880000114440918,13.350000381469727,13.3100004196167,12.6899995803833,12.609999656677246,13.4399995803833,13.569999694824219,13.050000190734863,12.829999923706055,12.75,12.479999542236328,13.5600004196167,15.100000381469727
28,BlackBerry Limited,Technology,Software—Infrastructure,Canada,us_market,12.800000190734863,12.239999771118164,12.220000267028809,12.170000076293945,11.989999771118164,12.069999694824219,11.4399995803833,11.550000190734863,11.789999961853027,11.25,11.079999923706055,10.65999984741211,10.569999694824219,10.109999656677246,9.880000114440918,10.619999885559082,10.819999694824219,10.380000114440918,10.180000305175781,10.15999984741211,9.90999984741211,10.78499984741211,
29,GameStop Corporation,Consumer Cyclical,Specialty Retail,United States,us_market,213.25,210.8800048828125,214.13999938964844,204.36000061035156,202.8300018310547,199.55999755859375,190.66000366210938,191.3800048828125,191.22999572753906,189.25,180.05999755859375,167.6199951171875,166.82000732421875,169.0399932861328,173.49000549316406,191.17999267578125,185.80999755859375,178.85000610351562,180.36000061035156,183.94000244140625,178.5399932861328,171.49000549316406,
30,"Advanced Micro Devices, Inc.",Technology,Semiconductors,United States,us_market,87.08000183105469,89.5199966430664,93.93000030517578,93.30999755859375,94.69999694824219,94.47000122070312,90.54000091552734,89.73999786376953,90.9000015258789,90.80999755859375,90.26000213623047,89.05000305175781,86.93000030517578,85.88999938964844,86.58000183105469,87.11000061035156,89.41000366210938,91.20999908447266,92.1500015258789,91.81999969482422,91.02999877929688,96.26300048828125,
31,Starbucks Corporation,Consumer Cyclical,Restaurants,United States,us_market,112.23999786376953,112.2699966430664,111.80999755859375,113.41000366210938,114.97000122070312,115.7300033569336,117.13999938964844,115.98999786376953,117.47000122070312,118.45999908447266,119.55000305175781,119.80000305175781,118.97000122070312,118.7300033569336,115.31999969482422,117.41999816894531,119.2699966430664,122.62999725341797,125.97000122070312,126.05999755859375,126.02999877929688,122.30999755859375,
32,MINISO Group Holding Limited,Consumer Cyclical,Specialty Retail,China,us_market,21.079999923706055,20.43000030517578,20.790000915527344,20.040000915527344,19.43000030517578,19.510000228881836,18.190000534057617,17.559999465942383,18.110000610351562,18.739999771118164,18.920000076293945,18.510000228881836,17.559999465942383,17.350000381469727,17.25,17.809999465942383,18.229999542236328,17.90999984741211,17.15999984741211,16.93000030517578,15.010000228881836,17.638700485229492,
33,"Bloomin' Brands, Inc.",Consumer Cyclical,Restaurants,United States,us_market,27.139999389648438,26.709999084472656,27.139999389648438,27.15999984741211,27.209999084472656,26.920000076293945,26.290000915527344,25.90999984741211,27.149999618530273,28.079999923706055,27.899999618530273,27.489999771118164,26.440000534057617,25.760000228881836,23.959999084472656,25.110000610351562,26.1200008392334,25.639999389648438,25.780000686645508,26.65999984741211,26.690000534057617,25.110000610351562,
34,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers—Specialty & Generic,Canada,us_market,9.279999732971191,9.09000015258789,9.039999961853027,8.880000114440918,8.619999885559082,8.3100004196167,7.980000019073486,8.100000381469727,8.239999771118164,8.329999923706055,8.369999885559082,7.510000228881836,7.340000152587891,7.039999961853027,7.039999961853027,7.289999961853027,7.519999980926514,7.210000038146973,7.079999923706055,7.210000038146973,6.840000152587891,7.369999885559082,
35,Natura &Co Holding S.A.,Consumer Defensive,Household & Personal Products,Brazil,us_market,23.139999389648438,22.68000030517578,22.690000534057617,22.6200008392334,23.459999084472656,22.809999465942383,22.979999542236328,22.770000457763672,23.040000915527344,23.600000381469727,23.389999389648438,23.43000030517578,23.200000762939453,23.360000610351562,22.549999237060547,22.729999542236328,23.190000534057617,23.25,23.0,23.190000534057617,22.65999984741211,21.6200008392334,
36,Boeing Company (The),Industrials,Aerospace & Defense,United States,us_market,239.9600067138672,235.75999450683594,239.55999755859375,239.72999572753906,236.67999267578125,236.13999938964844,231.77999877929688,236.77000427246094,239.58999633789062,238.2899932861328,228.1999969482422,224.4499969482422,222.75999450683594,217.74000549316406,206.99000549316406,217.14999389648438,222.5399932861328,220.8699951171875,221.52000427246094,225.85000610351562,222.27000427246094,233.9929962158203,
37,REAL MATTERS INC,Technology,Software—Application,Canada,ca_market,18.170000076293945,18.06999969482422,17.8799991607666,,17.84000015258789,17.25,16.979999542236328,16.329999923706055,16.479999542236328,16.049999237060547,16.030000686645508,16.0,15.8100004196167,15.899999618530273,15.819999694824219,15.84000015258789,15.680000305175781,15.699999809265137,15.390000343322754,15.40999984741211,15.449999809265137,14.010000228881836,17.579999923706055
38,QuantumScape Corporation,Consumer Cyclical,Auto Parts,United States,us_market,30.860000610351562,30.350000381469727,29.260000228881836,27.68000030517578,26.700000762939453,26.459999084472656,25.030000686645508,24.81999969482422,25.079999923706055,24.25,23.260000228881836,23.200000762939453,23.68000030517578,22.860000610351562,23.030000686645508,23.56999969482422,24.229999542236328,23.420000076293945,22.440000534057617,22.579999923706055,21.40999984741211,23.770000457763672,
39,"21Vianet Group, Inc.",Technology,Information Technology Services,China,us_market,22.899999618530273,23.280000686645508,22.950000762939453,22.270000457763672,21.43000030517578,21.059999465942383,19.8799991607666,18.799999237060547,19.739999771118164,19.520000457763672,20.059999465942383,19.450000762939453,18.850000381469727,17.93000030517578,17.700000762939453,17.790000915527344,18.75,18.350000381469727,15.800000190734863,15.979999542236328,14.640000343322754,17.170000076293945,
40,TILRAY INC,Healthcare,Drug Manufacturers—Specialty & Generic,Canada,ca_market,22.979999542236328,22.170000076293945,22.3799991607666,,21.229999542236328,20.8700008392334,20.280000686645508,20.34000015258789,20.139999389648438,20.209999084472656,20.450000762939453,18.81999969482422,18.18000030517578,17.540000915527344,17.31999969482422,17.93000030517578,18.34000015258789,17.43000030517578,17.110000610351562,17.18000030517578,16.030000686645508,20.06999969482422,21.389999389648438
41,General Electric Company,Industrials,Specialty Industrial Machinery,United States,us_market,12.890000343322754,13.09000015258789,13.460000038146973,13.479999542236328,13.359999656677246,12.920000076293945,12.979999542236328,12.869999885559082,13.15999984741211,13.109999656677246,12.890000343322754,12.8100004196167,12.760000228881836,12.550000190734863,12.0,12.699999809265137,13.079999923706055,12.699999809265137,12.710000038146973,12.920000076293945,13.079999923706055,13.175000190734863,
42,Zai Lab Limited,Healthcare,Biotechnology,China,us_market,172.36000061035156,177.8699951171875,176.99000549316406,178.3699951171875,175.89999389648438,165.1199951171875,167.24000549316406,165.75,169.0,172.4199981689453,170.99000549316406,174.02000427246094,170.19000244140625,156.72000122070312,153.9499969482422,161.6199951171875,156.1199951171875,161.0,150.0,131.47999572753906,116.0,134.86000061035156,
43,TAL Education Group,Consumer Defensive,Education & Training Services,China,us_market,24.5,25.420000076293945,25.229999542236328,23.399999618530273,21.389999389648438,20.790000915527344,19.40999984741211,19.510000228881836,21.219999313354492,20.389999389648438,21.520000457763672,22.440000534057617,21.940000534057617,19.850000381469727,18.700000762939453,19.18000030517578,21.329999923706055,20.520000457763672,6.0,4.400000095367432,5.510000228881836,6.394999980926514,
44,"Infinity Pharmaceuticals, Inc.",Healthcare,Biotechnology,United States,us_market,3.2100000381469727,3.119999885559082,2.990000009536743,3.0,2.859999895095825,2.8499999046325684,2.759999990463257,2.759999990463257,2.9600000381469727,2.940000057220459,2.809999942779541,2.630000114440918,2.609999895095825,2.559999942779541,2.690000057220459,2.640000104904175,2.7200000286102295,2.5299999713897705,2.299999952316284,2.2200000286102295,1.5199999809265137,2.244999885559082,
45,Hoegh LNG Partners LP,Energy,Oil & Gas Midstream,Bermuda,us_market,17.549999237060547,17.559999465942383,17.59000015258789,17.6200008392334,18.059999465942383,17.940000534057617,17.670000076293945,17.479999542236328,17.6299991607666,17.93000030517578,17.75,17.709999084472656,17.610000610351562,17.350000381469727,16.68000030517578,17.260000228881836,17.479999542236328,17.399999618530273,17.459999084472656,17.90999984741211,17.8700008392334,6.735000133514404,
46,Bank of America Corporation,Financial Services,Banks—Diversified,United States,us_market,41.560001373291016,40.88999938964844,41.22999954223633,41.540000915527344,41.150001525878906,40.06999969482422,39.75,38.779998779296875,40.040000915527344,40.630001068115234,39.86000061035156,38.86000061035156,38.83000183105469,37.91999816894531,36.93000030517578,37.689998626708984,38.459999084472656,37.959999084472656,37.70000076293945,38.130001068115234,37.97999954223633,38.10499954223633,
47,"C.H. Robinson Worldwide, Inc.",Industrials,Integrated Freight & Logistics,United States,us_market,94.2699966430664,94.54000091552734,93.66999816894531,94.20999908447266,93.77999877929688,92.81999969482422,93.33999633789062,91.76000213623047,93.16999816894531,92.73999786376953,92.62000274658203,94.6500015258789,93.94000244140625,93.30000305175781,93.12999725341797,93.11000061035156,93.13999938964844,91.7699966430664,92.87999725341797,92.5,91.31999969482422,88.12999725341797,
